
Date,Time,Open,High,Low,Close,Volume
2023-01-01,00:00:00,1.1200,1.1220,1.1195,1.1210,1200
2023-01-01,01:00:00,1.1210,1.1230,1.1205,1.1215,1450
2023-01-01,02:00:00,1.1215,1.1240,1.1210,1.1235,1300
2023-01-01,03:00:00,1.1235,1.1245,1.1220,1.1225,1100
2023-01-01,04:00:00,1.1225,1.1240,1.1215,1.1230,980
2023-01-01,05:00:00,1.1230,1.1255,1.1225,1.1250,1230
2023-01-01,06:00:00,1.1250,1.1270,1.1245,1.1260,1560
2023-01-01,07:00:00,1.1260,1.1280,1.1255,1.1275,1480
2023-01-01,08:00:00,1.1275,1.1290,1.1270,1.1285,1320
2023-01-01,09:00:00,1.1285,1.1295,1.1275,1.1280,1250
2023-01-01,10:00:00,1.1280,1.1290,1.1265,1.1270,1150
2023-01-01,11:00:00,1.1270,1.1275,1.1250,1.1255,1050
2023-01-01,12:00:00,1.1255,1.1265,1.1240,1.1245,980
2023-01-01,13:00:00,1.1245,1.1260,1.1235,1.1255,1100
2023-01-01,14:00:00,1.1255,1.1270,1.1250,1.1265,1250
2023-01-01,15:00:00,1.1265,1.1280,1.1260,1.1275,1340
2023-01-01,16:00:00,1.1275,1.1290,1.1270,1.1285,1420
2023-01-01,17:00:00,1.1285,1.1300,1.1280,1.1295,1370
2023-01-01,18:00:00,1.1295,1.1305,1.1280,1.1290,1180
2023-01-01,19:00:00,1.1290,1.1300,1.1275,1.1280,1050
2023-01-01,20:00:00,1.1280,1.1285,1.1260,1.1265,950
2023-01-01,21:00:00,1.1265,1.1280,1.1255,1.1275,1050
2023-01-01,22:00:00,1.1275,1.1290,1.1270,1.1285,1150
2023-01-01,23:00:00,1.1285,1.1295,1.1275,1.1290,980
2023-01-02,00:00:00,1.1290,1.1305,1.1285,1.1300,1050
2023-01-02,01:00:00,1.1300,1.1320,1.1295,1.1315,1230
2023-01-02,02:00:00,1.1315,1.1330,1.1310,1.1325,1340
2023-01-02,03:00:00,1.1325,1.1335,1.1315,1.1320,1270
2023-01-02,04:00:00,1.1320,1.1330,1.1305,1.1310,1190
2023-01-02,05:00:00,1.1310,1.1320,1.1300,1.1315,1150
2023-01-02,06:00:00,1.1315,1.1335,1.1310,1.1330,1280
2023-01-02,07:00:00,1.1330,1.1345,1.1325,1.1340,1410
2023-01-02,08:00:00,1.1340,1.1350,1.1330,1.1335,1350
2023-01-02,09:00:00,1.1335,1.1345,1.1320,1.1325,1230
2023-01-02,10:00:00,1.1325,1.1335,1.1310,1.1315,1150
2023-01-02,11:00:00,1.1315,1.1325,1.1300,1.1310,1080
2023-01-02,12:00:00,1.1310,1.1320,1.1295,1.1305,1050
2023-01-02,13:00:00,1.1305,1.1320,1.1300,1.1315,1150
2023-01-02,14:00:00,1.1315,1.1330,1.1310,1.1325,1240
2023-01-02,15:00:00,1.1325,1.1340,1.1320,1.1335,1320
2023-01-02,16:00:00,1.1335,1.1350,1.1330,1.1345,1380
2023-01-02,17:00:00,1.1345,1.1360,1.1340,1.1355,1340
2023-01-02,18:00:00,1.1355,1.1365,1.1340,1.1345,1250
2023-01-02,19:00:00,1.1345,1.1355,1.1330,1.1335,1150
2023-01-02,20:00:00,1.1335,1.1345,1.1320,1.1330,1080
